Inventory_ID,Product_ID,Product_Name,Category,Location_ID,Quantity_On_Hand,Reorder_Level,Unit_Price,Stock_Status,Last_Updated
INV00001,P00798,Mini Loafers (Grey),Footwear,LOC00001,300,40,3352.64,In Stock,2026-08-24
INV00002,P00095,Plus Backpack (Red),Accessories,LOC00002,101,20,3302.4,In Stock,2026-08-16
INV00003,P00753,Lite Handbag (Green),Accessories,LOC00003,98,30,4132.92,In Stock,2026-08-02
INV00004,P00006,Deluxe Slippers (Grey),Footwear,LOC00004,212,30,1130.04,In Stock,2026-08-16
INV00005,P00608,Max Boots (Green),Footwear,LOC00005,47,25,810.4,In Stock,2026-08-20
INV00006,P00050,Compact Wallet (Red),Accessories,LOC00006,77,40,665.24,In Stock,2026-08-24
INV00007,P00162,Standard Keychain (Beige),Accessories,LOC00007,235,10,3787.03,In Stock,2026-08-14
INV00008,P00143,Plus Water Bottle (Grey),Home,LOC00008,58,10,536.26,In Stock,2026-08-20
INV00009,P00116,Max Sticky Notes (Beige),Stationery,LOC00009,206,25,4574.1,In Stock,2026-08-04
INV00010,P00043,Lite Sticky Notes (Beige),Stationery,LOC00010,16,10,3641.7,In Stock,2026-08-15
INV00011,P00678,Lite Sticky Notes (Green),Stationery,LOC00011,270,40,4667.77,In Stock,2026-08-25
INV00012,P00203,Classic Desk Organizer (White),Stationery,LOC00012,109,30,2901.23,In Stock,2026-08-02
INV00013,P00442,Standard Table Lamp (Blue),Home,LOC00013,172,25,164.7,In Stock,2026-08-07
INV00014,P00184,Lite Wall Clock (Grey),Home,LOC00014,154,25,606.78,In Stock,2026-08-25
INV00015,P00783,Plus File Folder (Blue),Stationery,LOC00015,90,20,1492.81,In Stock,2026-08-04
INV00016,P00572,Mini Calculator (Blue),Stationery,LOC00016,202,40,787.99,In Stock,2026-08-21
INV00017,P00346,Compact Belt (White),Accessories,LOC00017,295,10,4910.72,In Stock,2026-08-22
INV00018,P00154,Classic Laptop Stand (Black),Electronics,LOC00018,146,30,182.86,In Stock,2026-08-13
INV00019,P00606,Standard Smart Watch (Beige),Electronics,LOC00019,187,15,4213.27,In Stock,2026-08-12
INV00020,P00068,Compact Router (Black),Electronics,LOC00020,0,40,3605.8,Out of Stock,2026-08-26
INV00021,P00583,Plus Sports Shoes (Beige),Footwear,LOC00021,176,30,2957.95,In Stock,2026-08-05
INV00022,P00018,Deluxe Wallet (Blue),Accessories,LOC00022,117,10,794.21,In Stock,2026-08-15
INV00023,P00196,Pro Umbrella (White),Accessories,LOC00023,183,25,2743.23,In Stock,2026-08-18
INV00024,P00397,Mini Sandals (Blue),Footwear,LOC00024,66,20,1369.85,In Stock,2026-08-07
INV00025,P00077,Mini Watch Strap (Grey),Accessories,LOC00025,79,40,4950.49,In Stock,2026-08-01
INV00026,P00056,Standard Wireless Mouse (Green),Electronics,LOC00026,63,25,892.57,In Stock,2026-08-12
INV00027,P00237,Premium Door Mat (Red),Home,LOC00027,253,30,914.12,In Stock,2026-08-09
INV00028,P00635,Classic Stapler (Beige),Stationery,LOC00028,226,10,2211.99,In Stock,2026-08-24
INV00029,P00605,Mini Boots (Silver),Footwear,LOC00029,211,10,718.77,In Stock,2026-08-08
INV00030,P00289,Pro Marker Pack (Silver),Stationery,LOC00030,54,30,1378.2,In Stock,2026-08-11
INV00031,P00163,Deluxe Formal Shoes (Red),Footwear,LOC00031,3,40,3579.63,Low Stock,2026-08-08
INV00032,P00293,Plus Door Mat (Beige),Home,LOC00032,127,10,181.61,In Stock,2026-08-02
INV00033,P00372,Pro Travel Pouch (Grey),Accessories,LOC00033,254,25,2311.22,In Stock,2026-08-19
INV00034,P00434,Classic Belt (Red),Accessories,LOC00034,33,20,2990.6,In Stock,2026-08-12
INV00035,P00798,Mini Loafers (Grey),Footwear,LOC00035,190,20,4232.18,In Stock,2026-08-10
INV00036,P00253,Deluxe Handbag (Beige),Accessories,LOC00036,245,20,769.61,In Stock,2026-08-27
INV00037,P00258,Mini Laptop Stand (Grey),Electronics,LOC00037,222,25,315.21,In Stock,2026-08-01
INV00038,P00061,Compact Monitor (Black),Electronics,LOC00038,263,10,1114.38,In Stock,2026-08-04
INV00039,P00755,Classic Backpack (White),Accessories,LOC00039,283,25,2300.7,In Stock,2026-08-08
INV00040,P00283,Standard Sneakers (Green),Footwear,LOC00040,250,10,2628.77,In Stock,2026-08-06
INV00041,P00558,Mini Bluetooth Speaker (Silver),Electronics,LOC00041,264,10,1893.6,In Stock,2026-08-04
INV00042,P00110,Max Curtain (Grey),Home,LOC00042,15,15,4872.59,Low Stock,2026-08-28
INV00043,P00722,Premium Storage Box (Blue),Home,LOC00043,237,10,2589.98,In Stock,2026-08-03
INV00044,P00419,Classic Wallet (Red),Accessories,LOC00044,52,25,2362.54,In Stock,2026-08-08
INV00045,P00235,Pro Laptop Stand (Blue),Electronics,LOC00045,40,20,1868.49,In Stock,2026-08-02
INV00046,P00544,Mini Smart Watch (Beige),Electronics,LOC00046,251,20,4024.03,In Stock,2026-08-10
INV00047,P00180,Pro Water Bottle (Grey),Home,LOC00047,100,10,2868.14,In Stock,2026-08-01
INV00048,P00187,Premium Sneakers (Grey),Footwear,LOC00048,272,20,3413.19,In Stock,2026-08-28
INV00049,P00458,Premium Cap (Red),Accessories,LOC00049,219,25,2530.25,In Stock,2026-08-20
INV00050,P00210,Standard Marker Pack (White),Stationery,LOC00050,287,10,1073.93,In Stock,2026-08-01
INV00051,P00688,Standard Sports Shoes (White),Footwear,LOC00051,206,15,4616.65,In Stock,2026-08-06
INV00052,P00448,Standard Headphones (Green),Electronics,LOC00052,223,25,485.77,In Stock,2026-08-27
INV00053,P00600,Mini Desk Organizer (Beige),Stationery,LOC00053,268,10,3526.44,In Stock,2026-08-08
INV00054,P00487,Premium Candle Holder (Silver),Home,LOC00054,16,10,2073.62,In Stock,2026-08-02
INV00055,P00436,Lite Highlighter Set (Black),Stationery,LOC00055,159,10,2986.64,In Stock,2026-08-11
INV00056,P00774,Standard Router (Green),Electronics,LOC00056,59,10,2982.72,In Stock,2026-08-02
INV00057,P00683,Deluxe HDMI Cable (Red),Electronics,LOC00057,63,25,282.02,In Stock,2026-08-30
INV00058,P00767,Pro Sports Shoes (White),Footwear,LOC00058,134,40,2764.0,In Stock,2026-08-19
INV00059,P00566,Premium Sandals (Blue),Footwear,LOC00059,288,10,4302.81,In Stock,2026-08-25
INV00060,P00647,Classic Desk Organizer (Blue),Stationery,LOC00060,138,40,1642.73,In Stock,2026-08-19
INV00061,P00684,Mini Calculator (Black),Stationery,LOC00061,33,40,306.25,Low Stock,2026-08-11
INV00062,P00626,Premium Door Mat (Blue),Home,LOC00062,256,30,1557.38,In Stock,2026-08-02
INV00063,P00613,Plus Cushion (Grey),Home,LOC00063,202,25,2692.02,In Stock,2026-08-26
INV00064,P00505,Lite Travel Pouch (White),Accessories,LOC00064,114,40,1072.45,In Stock,2026-08-21
INV00065,P00605,Mini Boots (Silver),Footwear,LOC00065,61,25,1971.88,In Stock,2026-08-27
INV00066,P00570,Pro Scissors (White),Stationery,LOC00066,149,40,4548.57,In Stock,2026-08-04
INV00067,P00102,Max Cap (Red),Accessories,LOC00067,110,15,4766.48,In Stock,2026-08-16
INV00068,P00497,Premium Wall Clock (Black),Home,LOC00068,292,25,1242.16,In Stock,2026-08-09
INV00069,P00179,Premium Marker Pack (Silver),Stationery,LOC00069,223,20,3710.14,In Stock,2026-08-06
INV00070,P00528,Premium Scissors (Beige),Stationery,LOC00070,148,40,4567.65,In Stock,2026-08-19
INV00071,P00626,Premium Door Mat (Blue),Home,LOC00071,7,25,908.2,Low Stock,2026-08-03
INV00072,P00442,Standard Table Lamp (Blue),Home,LOC00072,71,40,2388.62,In Stock,2026-08-01
INV00073,P00528,Premium Scissors (Beige),Stationery,LOC00073,276,25,616.89,In Stock,2026-08-28
INV00074,P00421,Premium Tablet Stand (Black),Electronics,LOC00074,81,10,3329.39,In Stock,2026-08-22
INV00075,P00646,Pro Backpack (Grey),Accessories,LOC00075,132,40,4723.2,In Stock,2026-08-04
INV00076,P00086,Deluxe Cap (Red),Accessories,LOC00076,189,15,3778.54,In Stock,2026-08-22
INV00077,P00586,Standard Flip Flops (Blue),Footwear,LOC00077,258,30,2297.04,In Stock,2026-08-29
INV00078,P00151,Standard Power Bank (Green),Electronics,LOC00078,42,10,3680.69,In Stock,2026-08-15
INV00079,P00551,Premium Cap (Silver),Accessories,LOC00079,300,30,2589.27,In Stock,2026-08-10
INV00080,P00073,Deluxe HDMI Cable (Red),Electronics,LOC00080,204,30,1589.16,In Stock,2026-08-29
INV00081,P00142,Classic Curtain (Beige),Home,LOC00081,61,15,2656.54,In Stock,2026-08-15
INV00082,P00756,Pro Water Bottle (Blue),Home,LOC00082,292,15,1930.62,In Stock,2026-08-15
INV00083,P00012,Compact Table Lamp (Grey),Home,LOC00083,88,30,1370.55,In Stock,2026-08-02
INV00084,P00048,Classic Marker Pack (White),Stationery,LOC00084,242,25,3365.26,In Stock,2026-08-11
INV00085,P00185,Max Formal Shoes (Green),Footwear,LOC00085,194,15,1566.82,In Stock,2026-08-19
